,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,Fremantle,92.12,6.57,1.06,0.22,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Sydney,6.76,64.8,19.53,5.62,1.65,1.02,0.4,0.14,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Hawthorn,0.5,14.47,31.59,17.75,14.19,12.93,5.68,1.55,0.79,0.36,0.15,0.03,0.0,0.0,0.0,0.0,0.0,0.0
3,Brisbane Lions,0.1,5.72,24.61,31.53,20.96,8.96,4.3,2.21,0.97,0.47,0.14,0.04,0.01,0.0,0.0,0.0,0.0,0.0
4,Adelaide,0.47,6.82,12.99,14.87,15.46,19.81,15.29,6.19,4.0,2.33,1.36,0.33,0.06,0.01,0.0,0.0,0.0,0.0
5,Melbourne,0.04,1.43,8.8,22.08,19.75,15.98,12.02,8.83,5.84,3.4,1.44,0.34,0.06,0.0,0.0,0.0,0.0,0.0
6,Geelong,0.0,0.01,0.32,4.17,15.76,16.84,20.33,17.39,11.17,7.33,4.52,1.62,0.45,0.09,0.01,0.0,0.0,0.0
7,Western Bulldogs,0.01,0.19,0.9,2.08,5.07,9.58,15.84,18.5,16.14,13.16,9.61,5.53,2.64,0.67,0.1,0.0,0.0,0.0
8,Collingwood,0.0,0.0,0.2,1.06,2.56,4.21,9.49,13.58,16.41,17.86,17.04,10.66,4.91,1.7,0.33,0.0,0.0,0.0
9,Greater Western Sydney,0.0,0.0,0.01,0.37,2.6,5.86,8.04,14.98,19.25,18.9,15.17,8.33,4.13,1.77,0.6,0.01,0.0,0.0
10,St Kilda,0.0,0.0,0.0,0.21,1.65,3.89,6.11,10.12,14.0,16.96,18.11,12.63,8.64,5.19,2.49,0.01,0.0,0.0
11,Carlton,0.0,0.0,0.0,0.02,0.13,0.48,1.59,3.9,5.85,8.49,12.32,20.6,19.75,16.02,10.83,0.02,0.0,0.0
12,North Melbourne,0.0,0.0,0.0,0.02,0.18,0.38,0.72,1.61,3.18,5.9,10.64,20.22,27.07,21.1,8.95,0.03,0.0,0.0
13,Gold Coast,0.0,0.0,0.0,0.0,0.01,0.05,0.21,0.94,2.08,3.93,7.1,13.45,19.66,28.37,23.82,0.39,0.0,0.0
14,Port Adelaide,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.28,0.88,2.42,6.24,12.61,24.86,51.47,1.17,0.01,0.0
15,West Coast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.22,1.38,82.91,14.73,0.74
16,Richmond,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,13.69,58.83,27.48
17,Essendon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.76,26.44,71.79
