team,after_round,orating,drating,combined,update_timestamp
Sydney,0,13.594887621068027,2.457497278114304,8.026192449591166,2026-03-09 01:45:39.316397+00:00
Essendon,0,-20.389515778353264,-9.790829572681336,-15.0901726755173,2026-03-09 01:45:39.316397+00:00
Adelaide,0,3.267770743108885,5.772856784770329,4.5203137639396065,2026-03-09 01:45:39.316397+00:00
Collingwood,0,-8.548249207250995,11.151809520141306,1.3017801564451554,2026-03-09 01:45:39.316397+00:00
Western Bulldogs,0,34.2758817309619,-5.008645435817488,14.633618147572204,2026-03-09 01:45:39.316397+00:00
West Coast,0,-20.300981544119505,-32.960796557835174,-26.630889050977338,2026-03-09 01:45:39.316397+00:00
Hawthorn,0,10.676430265832728,16.203808517707465,13.440119391770097,2026-03-09 01:45:39.316397+00:00
Brisbane Lions,0,31.198471831314663,0.8763283033948976,16.03740006735478,2026-03-09 01:45:39.316397+00:00
Port Adelaide,0,-5.6485062148742,-15.6926092766829,-10.670557745778549,2026-03-09 01:45:39.316397+00:00
Richmond,0,-24.92242031281865,-9.266943733904752,-17.094682023361703,2026-03-09 01:45:39.316397+00:00
Greater Western Sydney,0,12.421177777607443,-10.194802840371691,1.1131874686178769,2026-03-09 01:45:39.316397+00:00
Carlton,0,-10.531609373925347,-9.450567646747595,-9.991088510336471,2026-03-09 01:45:39.316397+00:00
North Melbourne,0,-3.630393246724576,-21.14166740612549,-12.386030326425033,2026-03-09 01:45:39.316397+00:00
St Kilda,0,-2.176583660647212,7.502821425347415,2.6631188823501013,2026-03-09 01:45:39.316397+00:00
Fremantle,0,2.183435171182878,6.241941681680307,4.212688426431592,2026-03-09 01:45:39.316397+00:00
Melbourne,0,5.067307201617426,0.4760999484823895,2.7717035750499077,2026-03-09 01:45:39.316397+00:00
Geelong,0,21.896627035534312,7.621127731358522,14.758877383446418,2026-03-09 01:45:39.316397+00:00
Gold Coast,0,11.232016880265892,5.546069960271797,8.389043420268845,2026-03-09 01:45:39.316397+00:00
