team,orating,drating,combined,change
Brisbane Lions,31.198471831314663,0.8763283033948976,16.03740006735478,-0.4
Geelong,21.896627035534312,7.621127731358522,14.758877383446418,-3.1
Western Bulldogs,34.2758817309619,-5.008645435817488,14.633618147572205,0.4
Hawthorn,10.676430265832728,16.203808517707465,13.440119391770097,1.4
Gold Coast,11.232016880265892,5.546069960271797,8.389043420268845,3.1
Sydney,13.594887621068027,2.457497278114304,8.026192449591166,8.5
Adelaide,3.267770743108885,5.772856784770329,4.5203137639396065,-0.0
Fremantle,2.183435171182878,6.241941681680307,4.212688426431592,0.0
Melbourne,5.067307201617426,0.4760999484823895,2.7717035750499077,0.0
St Kilda,-2.176583660647212,7.502821425347415,2.6631188823501013,6.1
Collingwood,-8.548249207250995,11.151809520141306,1.3017801564451554,-6.1
Greater Western Sydney,12.421177777607443,-10.194802840371691,1.113187468617876,-1.4
Carlton,-10.531609373925347,-9.450567646747595,-9.991088510336471,-8.5
Port Adelaide,-5.6485062148742,-15.6926092766829,-10.670557745778549,0.0
North Melbourne,-3.630393246724576,-21.14166740612549,-12.386030326425033,0.0
Essendon,-20.389515778353264,-9.790829572681336,-15.0901726755173,0.0
Richmond,-24.92242031281865,-9.266943733904752,-17.094682023361703,-0.0
West Coast,-20.300981544119505,-32.960796557835174,-26.630889050977338,0.0
